date,Ford,F-150,Ford Bronco_x,Ford Mustang_x,Ford Stock,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ford Motor Company,Ford Mustang_y,Ford F Series,Ford Bronco_y,Lincoln Navigator,Lincoln Aviator,Ford GT
2020-01-01,17.695652173913043,0.0,0.0,0.782608695652174,0.0,,,,,,,,5733,3931,8,1328,655,676,2829
2020-01-02,20.833333333333332,0.0,0.0,0.0,0.0,8.982628963763705,9.108327865600586,8.88593721708277,9.108327865600586,43425700.0,0.0,0.0,6956,4164,8,1563,746,835,3687
2020-01-03,26.125,0.0,0.875,0.625,0.0,9.001968049148042,9.0599823618264,8.847261063723717,8.90527629852295,45040800.0,0.0,0.0,6121,3938,9,1359,696,737,3039
2020-01-04,18.041666666666668,0.0,1.7083333333333333,1.0833333333333333,0.0,,,,,,,,6245,3884,7,1358,700,958,2880
2020-01-05,17.708333333333332,0.0,0.0,0.6666666666666666,0.0,,,,,,,,6862,4396,4,1388,888,2054,2842
2020-01-06,27.583333333333332,0.5833333333333334,0.0,1.75,0.0,8.798915470593712,8.866599137836173,8.760238957580764,8.856929779052734,43372300.0,0.0,0.0,6083,3849,5,1471,761,798,2386
2020-01-07,16.875,0.0,0.9166666666666666,1.9166666666666667,0.0,8.895606686484825,8.943952560424805,8.818253657029198,8.943952560424805,44984100.0,0.0,0.0,5519,3867,4,1549,700,913,2098
2020-01-08,17.958333333333332,0.0,1.3333333333333333,0.75,0.0,8.924613842000474,8.992298434364784,8.866599530969177,8.943952560424805,45994900.0,0.0,0.0,5428,3808,8,1578,704,780,2206
2020-01-09,27.666666666666668,0.0,2.0416666666666665,1.875,0.0,8.992299336601564,9.001968696783898,8.876269780776369,8.953622817993164,51817400.0,0.0,0.0,5697,3810,8,1940,674,875,2479
2020-01-10,25.166666666666668,0.0,3.0833333333333335,0.0,0.0,8.963291278849136,9.050312745396083,8.943952560424805,8.943952560424805,39796300.0,0.0,0.0,5302,4079,2,1829,740,984,2276
2020-01-11,17.458333333333332,0.0,1.375,2.2083333333333335,0.0,,,,,,,,5165,4434,9,1783,803,1109,2308
2020-01-12,25.208333333333332,0.0,0.0,1.7083333333333333,0.0,,,,,,,,5819,4281,10,1707,1065,2628,2603
2020-01-13,19.291666666666668,0.0,2.4166666666666665,0.0,0.625,8.943953570509253,8.953622930813426,8.808585292613678,8.934284210205078,48553700.0,0.0,0.0,5963,4070,6,1697,836,1391,2326
2020-01-14,23.541666666666668,0.0,1.7083333333333333,0.75,0.6666666666666666,8.91494515398823,9.02130533596588,8.905275795048219,8.98262882232666,42935600.0,0.0,0.0,5758,4211,9,1638,881,1006,2211
2020-01-15,31.125,0.0,3.6666666666666665,2.625,0.0,8.963291645475353,8.992298802177483,8.876269253248076,8.885937690734863,55923900.0,0.0,0.0,6144,4429,7,1802,867,1052,2143
2020-01-16,27.0,0.0,1.2916666666666667,1.375,0.6666666666666666,8.924614350960878,8.972960227657968,8.847261317093897,8.866600036621094,44310400.0,0.0,0.0,6475,4057,8,1753,786,888,2445
2020-01-17,13.833333333333334,0.0,2.8333333333333335,2.1666666666666665,0.875,8.885936933282245,8.924613446295194,8.827922624823223,8.856929779052734,41644900.0,0.0,0.0,6330,4127,14,1984,779,1063,2562
2020-01-18,23.708333333333332,0.0,1.2083333333333333,0.0,0.0,,,,,,,,5964,4109,12,1945,771,1198,3153
2020-01-19,27.666666666666668,0.0,1.9583333333333333,0.0,0.0,,,,,,,,5854,4429,13,1798,864,1541,3929
2020-01-20,25.375,0.0,2.0,0.7083333333333334,0.0,,,,,,,,5765,3874,5,1704,950,1695,2605
2020-01-21,19.0,0.0,1.4166666666666667,0.0,0.0,8.847261063723717,8.914945658009632,8.798916110532046,8.90527629852295,49556400.0,0.0,0.0,5410,3800,4,1572,745,886,2179
2020-01-22,17.458333333333332,0.0,0.5416666666666666,1.0416666666666667,0.0,8.914945009632563,8.943952163862074,8.847260420269295,8.856929779052734,39914800.0,0.0,0.0,5562,3614,13,1713,731,930,2081
2020-01-23,21.208333333333332,0.9166666666666666,1.1666666666666667,0.0,0.9166666666666666,8.837592124938965,8.856929920694288,8.634540197843535,8.837592124938965,75848700.0,0.0,0.0,5768,3574,14,1541,706,833,2079
2020-01-24,23.458333333333332,0.0,2.9166666666666665,0.0,0.0,8.808584923977225,8.81825428387674,8.66354821396817,8.702224731445312,68100900.0,0.0,0.0,5200,3658,9,1552,731,992,2121
2020-01-25,23.833333333333332,0.0,0.875,0.0,0.0,,,,,,,,5110,3828,14,1603,814,1020,2250
2020-01-26,11.125,0.0,0.0,0.0,0.0,,,,,,,,5191,3751,7,1671,791,941,2661
2020-01-27,23.625,0.0,0.0,1.0,0.0,8.586194936333253,8.663547969101229,8.489503184312841,8.595864295959473,60769300.0,0.0,0.0,5260,3790,9,1456,703,849,2257
2020-01-28,23.125,0.0,1.0,0.8333333333333334,1.0416666666666667,8.644208742586788,8.702223974818745,8.566855714358065,8.673216819763184,85163400.0,0.0,0.0,6131,3808,3,1669,667,803,2361
2020-01-29,14.583333333333334,0.0,1.5833333333333333,0.0,0.0,8.702717297555987,8.810886322824583,8.692883494039808,8.712550163269043,59057400.0,0.15,0.0,6940,3969,9,1533,763,815,2735
2020-01-30,17.791666666666668,0.0,1.5416666666666667,0.625,0.0,8.663383969217158,8.69288444519043,8.584714470283062,8.69288444519043,42827800.0,0.0,0.0,6948,4168,8,1504,819,806,2669
2020-01-31,26.041666666666668,0.0,2.0,0.0,0.0,8.633881589922145,8.692883473073788,8.594547313755422,8.673215866088867,59813700.0,0.0,0.0,6539,4361,14,1458,733,926,2914
2020-02-01,15.0,0.0,0.6666666666666666,0.9166666666666666,0.0,,,,,,,,6683,4380,10,1307,581,921,3597
2020-02-02,19.875,0.0,0.5416666666666666,0.0,1.375,,,,,,,,7516,4529,8,1368,602,768,3719
2020-02-03,18.583333333333332,0.0,0.0,0.0,0.4583333333333333,8.702718299271682,8.987892069443577,8.702718299271682,8.830554008483887,71405400.0,0.0,0.0,6759,3878,12,1285,598,698,2513
2020-02-04,22.541666666666668,0.0,0.0,0.5,2.1666666666666665,8.92888933283336,9.086226441073098,8.919055529117593,9.027225494384766,86196400.0,0.0,0.0,7163,4301,7,1257,581,632,2524
2020-02-05,33.416666666666664,0.0,3.6666666666666665,0.0,1.2083333333333333,8.27003951637437,8.33887426700859,8.122536211357287,8.171704292297363,145792500.0,0.0,0.0,7414,3749,8,1480,784,623,2194
2020-02-06,26.625,0.0,2.8333333333333335,2.0,0.0,8.230705200712691,8.240539004415371,8.112702369689941,8.112702369689941,68823400.0,0.0,0.0,7337,4211,12,1482,747,604,3175
2020-02-07,26.125,0.0,1.75,0.0,0.0,8.073368013174262,8.073368013174262,7.886530433679039,7.975031852722168,98256500.0,0.0,0.0,6708,3530,4,1353,694,665,3120
2020-02-08,28.083333333333332,0.0,2.8333333333333335,0.0,1.125,,,,,,,,6940,3883,3,1484,680,797,3117
2020-02-09,29.791666666666668,0.0,1.0833333333333333,1.125,1.25,,,,,,,,7125,4085,15,1409,692,761,3535
2020-02-10,34.208333333333336,0.0,3.7916666666666665,2.3333333333333335,0.5416666666666666,8.014367079714951,8.014367079714951,7.91603184540504,7.925865650177002,71834900.0,0.0,0.0,7769,3954,12,1380,688,748,3577
2020-02-11,23.5,0.0,0.9583333333333334,0.0,0.0,7.965199947357177,8.014367095708632,7.945532337774002,7.965199947357178,80164500.0,0.0,0.0,6944,3841,10,1295,655,753,3019
2020-02-12,20.666666666666668,0.0,1.375,0.0,0.0,8.004533804518617,8.191371396641085,7.994700000248174,8.102869033813477,111536800.0,0.0,0.0,6686,3963,4,1403,614,923,3039
2020-02-13,19.458333333333332,0.0,1.3333333333333333,0.0,0.0,8.073368092682358,8.220871397010011,8.073368092682358,8.112702369689941,67648800.0,0.0,0.0,6890,3819,7,1351,630,867,3066
2020-02-14,14.708333333333334,0.8333333333333334,3.5833333333333335,0.8333333333333334,0.0,8.132370877601202,8.132370877601202,7.945532337774002,7.965199947357178,46359700.0,0.0,0.0,6448,3796,4,1273,606,766,3173
2020-02-15,16.958333333333332,0.0,0.8333333333333334,0.6666666666666666,0.0,,,,,,,,7306,4667,5,1276,577,936,4923
2020-02-16,29.791666666666668,0.0,3.25,1.6666666666666667,0.625,,,,,,,,8733,5117,5,1340,666,888,5434
2020-02-17,28.625,0.0,5.166666666666667,1.125,0.7916666666666666,,,,,,,,9111,4504,10,1462,612,860,4758
2020-02-18,24.5,0.0,0.5416666666666666,0.0,0.5,7.984866603202302,8.014367079714951,7.88653136889239,7.925865650177002,65094800.0,0.0,0.0,7714,4519,7,1416,614,752,3274
2020-02-19,22.958333333333332,0.0,2.0833333333333335,0.4583333333333333,1.5,7.925865137746314,7.965199416487849,7.866863250732422,7.866863250732422,69668200.0,0.0,0.0,6791,3733,4,1337,630,798,2646
2020-02-20,15.833333333333334,0.0,1.0833333333333333,0.6666666666666666,0.0,7.8668632605567765,7.935698013989631,7.857029456408318,7.896363735198975,52318200.0,0.0,0.0,6345,3725,8,1192,619,859,2228
2020-02-21,21.083333333333332,0.0,1.7083333333333333,0.0,2.0833333333333335,7.886530803429889,7.896363669693598,7.75869369506836,7.758693695068359,58326300.0,0.0,0.0,6062,3630,4,1222,639,772,2395
2020-02-22,21.75,0.0,0.8333333333333334,0.0,0.0,,,,,,,,6679,3992,9,1137,510,908,3138
2020-02-23,19.041666666666668,0.0,0.0,0.0,0.0,,,,,,,,7021,4348,4,1271,561,1000,3791
2020-02-24,10.75,0.0,0.6666666666666666,0.0,1.375,7.571855485614055,7.591522624450653,7.424352178790355,7.444019317626953,110048200.0,0.0,0.0,6735,3963,6,1345,540,773,2968
2020-02-25,14.458333333333334,0.375,1.75,0.4583333333333333,1.0833333333333333,7.552188162218561,7.552188162218561,7.09984351112953,7.109677314758301,108888300.0,0.0,0.0,6181,3707,9,1298,543,804,2218
2020-02-26,29.833333333333332,0.0,2.9166666666666665,0.7083333333333334,0.7916666666666666,7.178512523093142,7.335849629713847,7.090010166168213,7.090010166168213,92469500.0,0.0,0.0,6131,3611,2,1330,606,789,2044
2020-02-27,26.458333333333332,0.0,1.9583333333333333,0.6666666666666666,0.6666666666666666,7.011341966546352,7.158845745894902,6.8048367692387,6.854004383087158,118642400.0,0.0,0.0,5844,3570,3,1184,644,846,2091
2020-02-28,29.125,0.0,2.75,0.7916666666666666,1.5833333333333333,6.726168211303996,6.844171047210693,6.558997292652046,6.844171047210693,116490700.0,0.0,0.0,5698,3713,2,1217,695,833,2070
2020-02-29,31.75,1.0,1.7083333333333333,0.0,1.125,,,,,,,,6282,3975,5,1319,654,857,2728
2020-03-01,28.125,0.0,1.5416666666666667,0.0,0.0,,,,,,,,6562,4406,10,1239,648,786,3201
2020-03-02,28.791666666666668,0.0,2.5,0.625,0.0,6.991674936421678,7.109677774182835,6.765502596261996,7.080176830291748,96766000.0,0.0,0.0,9321,4147,8,1306,629,734,2427
2020-03-03,30.0,1.0416666666666667,2.9583333333333335,0.0,0.7083333333333334,7.168679081103958,7.217847163854004,6.775335825808354,6.854004383087158,97457800.0,0.0,0.0,6281,3507,6,1287,546,770,1961
2020-03-04,26.5,0.0,5.041666666666667,1.125,0.7083333333333334,6.9720072654288145,6.9720072654288145,6.80483635689051,6.9621734619140625,70588100.0,0.0,0.0,5765,3537,7,1293,560,702,1835
2020-03-05,31.583333333333332,0.75,3.7916666666666665,1.25,0.6666666666666666,6.844170933691514,6.854004268736513,6.59833146184599,6.627831935882568,78070900.0,0.0,0.0,5658,3605,6,1285,623,728,1864
2020-03-06,26.791666666666668,0.0,4.041666666666667,0.0,1.3333333333333333,6.490161836891528,6.568830391329966,6.293490450795434,6.381992340087891,109932200.0,0.0,0.0,5304,3632,8,1406,588,789,1964
2020-03-07,26.25,0.0,1.25,1.4166666666666667,0.0,,,,,,,,5926,3801,5,1459,537,886,2440
2020-03-08,34.541666666666664,0.0,5.5,0.0,0.0,,,,,,,,6259,4145,5,1531,550,907,2587
2020-03-09,30.458333333333332,0.0,3.5416666666666665,0.7083333333333334,1.75,5.870646447898861,6.0378173656729714,5.772310751826321,5.801811695098877,103901700.0,0.0,0.0,6033,3884,11,2243,533,719,2296
2020-03-10,36.958333333333336,0.0,4.375,0.75,2.0833333333333335,6.155820846557617,6.185321321775365,5.703476162738296,6.155820846557617,101873600.0,0.0,0.0,5687,3646,16,3378,599,592,1775
2020-03-11,19.958333333333332,0.0,2.7083333333333335,0.6666666666666666,1.3333333333333333,5.95914880881494,6.008316891302003,5.7821445558843685,5.801811695098877,98587100.0,0.0,0.0,5310,3452,2,2615,577,543,1658
2020-03-12,13.916666666666666,0.0,0.9583333333333334,0.0,0.75,5.290465335375751,5.595306212022101,5.113460622618699,5.260964393615723,89453100.0,0.0,0.0,4978,3078,8,1854,503,460,1498
2020-03-13,14.875,0.0,2.5,0.0,0.0,5.772310615723533,5.801811558300497,5.03479220921673,5.536304950714111,125375300.0,0.0,0.0,4592,3144,3,1722,470,496,1711
2020-03-14,12.166666666666666,0.0,0.9166666666666666,1.1666666666666667,0.0,,,,,,,,5142,3438,3,1620,525,620,2268
2020-03-15,11.25,0.0,0.75,0.0,0.375,,,,,,,,5534,3824,8,1449,532,586,2814
2020-03-16,18.208333333333332,0.0,1.375,0.4583333333333333,0.0,4.95612333938566,5.1331275768988815,4.916789064382722,4.9266228675842285,110310900.0,0.0,0.0,5020,3103,5,1346,446,500,2077
2020-03-17,21.583333333333332,0.0,2.2083333333333335,0.0,0.625,4.995457614388598,5.054459026893006,4.62178153295914,4.9266228675842285,104233500.0,0.0,0.0,5251,3173,5,1246,464,534,1733
2020-03-18,19.375,0.0,0.0,0.0,0.6666666666666666,4.670950306786431,4.759452673174059,4.03176753944586,4.425110816955566,125954700.0,0.0,0.0,9404,3116,5,1131,507,579,1744
2020-03-19,17.791666666666668,0.0,0.625,0.4583333333333333,2.5416666666666665,4.2579398731466345,4.50377936207105,4.031767524580107,4.3956098556518555,126603800.0,0.0,0.0,6146,3200,4,1183,419,625,1799
2020-03-20,14.083333333333334,0.0,1.7916666666666667,0.0,0.25,4.464445020935113,4.670950226348986,4.179271255154356,4.25793981552124,129378600.0,0.0,0.0,4793,3061,8,1247,369,589,1853
2020-03-21,14.291666666666666,0.0,1.25,0.0,0.6666666666666666,,,,,,,,5831,3864,5,1334,467,519,2464
2020-03-22,11.416666666666666,0.0,0.5833333333333334,0.5833333333333334,0.2916666666666667,,,,,,,,5956,3851,3,1357,442,509,2722
2020-03-23,21.041666666666668,0.0,0.5833333333333334,0.25,1.1666666666666667,4.198937996578829,4.44477745883497,3.894097119649402,3.943265199661255,134925000.0,0.0,0.0,5294,3419,10,1250,440,453,2119
2020-03-24,23.666666666666668,0.0,0.75,1.0416666666666667,0.75,4.395610041232098,4.906956181027573,4.189105293206555,4.867621898651123,146192100.0,0.0,0.0,5822,3434,6,1231,470,385,1763
2020-03-25,28.416666666666668,0.0,1.0416666666666667,0.0,0.875,5.673974787078762,5.772310478494893,5.034792089521562,5.300298690795898,198999400.0,0.0,0.0,6141,3307,7,1455,482,424,1797
2020-03-26,33.5,0.0,2.2083333333333335,0.875,0.5416666666666666,5.270798630990178,5.555972392901995,5.074126763839602,5.162629127502441,138227600.0,0.0,0.0,5850,3239,3,1306,431,435,1869
2020-03-27,31.5,0.0,2.6666666666666665,0.4583333333333333,0.4583333333333333,4.985624843390781,5.21179718466259,4.828287256700654,5.103627681732178,106324000.0,0.0,0.0,5854,3383,2,1329,463,462,1840
2020-03-28,22.708333333333332,0.0,1.3333333333333333,0.5833333333333334,0.0,,,,,,,,6325,3708,6,1359,511,458,2121
2020-03-29,19.75,0.0,0.7916666666666666,0.0,0.875,,,,,,,,6518,4113,7,1599,533,460,2555
2020-03-30,29.583333333333332,0.0,2.7916666666666665,0.0,1.25,5.0249590507775945,5.034792386047563,4.847954326902234,4.946290493011475,97879700.0,0.0,0.0,7453,3377,8,1380,466,410,2156
2020-03-31,28.25,0.0,2.2083333333333335,1.2916666666666667,1.7083333333333333,4.9462903894735035,5.103627501712292,4.670949974154043,4.7496185302734375,231800800.0,0.0,0.0,6325,3482,7,1331,505,410,1859
2020-04-01,17.0,0.0,0.2916666666666667,0.75,1.5833333333333333,4.5529469195102035,4.690616886052829,4.287440321012933,4.326774597167969,119174500.0,0.0,0.0,6333,3582,7,1285,486,365,1829
2020-04-02,19.125,0.0,0.375,0.0,0.3333333333333333,4.316941252626742,4.49394598304392,4.1792712714479645,4.287440776824951,90891700.0,0.0,0.0,6313,3783,7,1264,481,329,1932
2020-04-03,32.625,0.0,0.375,0.5,0.5,4.326774501658739,4.346441639302125,4.100602184309032,4.169436931610107,85659900.0,0.0,0.0,6158,3605,3,1310,425,350,2026
2020-04-04,13.916666666666666,0.0,2.125,0.0,0.0,,,,,,,,6876,6687,8,1314,494,364,2313
2020-04-05,12.5,0.0,1.0416666666666667,0.0,2.75,,,,,,,,6748,5369,3,19834,559,353,2697
2020-04-06,16.791666666666668,0.3333333333333333,0.5,0.0,0.0,4.464444636169696,4.592281270199164,4.3366080021402285,4.454611301422119,102205300.0,0.0,0.0,5629,3639,5,1669,496,317,2146
2020-04-07,16.875,0.0,0.375,0.375,1.9166666666666667,4.769285610236841,4.946290328214898,4.552947083587807,4.63161563873291,115150400.0,0.0,0.0,6136,3578,5,1367,529,358,1903
2020-04-08,24.833333333333332,0.0,2.0833333333333335,0.0,1.875,4.779119573307675,5.005291911336064,4.720118154983085,4.946290493011475,117022200.0,0.0,0.0,5820,3795,5,1338,448,380,1899
2020-04-09,21.166666666666668,1.125,0.7916666666666666,2.4166666666666665,0.0,5.418302468089947,5.654308148339159,5.152795374457176,5.280632019042969,175681700.0,0.0,0.0,6929,3770,7,1323,519,423,1889
2020-04-10,25.75,0.0,1.75,0.0,0.0,,,,,,,,6364,3853,10,1427,571,444,2206
2020-04-11,30.541666666666668,0.0,0.8333333333333334,0.7083333333333334,1.0,,,,,,,,5549,4018,12,1417,537,473,2405
2020-04-12,34.541666666666664,0.0,2.5416666666666665,1.9583333333333333,0.9583333333333334,,,,,,,,5961,4360,10,1521,533,420,2549
2020-04-13,37.666666666666664,0.0,1.625,2.4583333333333335,0.0,5.339632838455934,5.339632838455934,4.936456278932276,5.074126243591309,99320000.0,0.0,0.0,5976,3981,11,1496,572,426,2381
2020-04-14,29.166666666666668,1.125,1.375,1.75,0.0,5.182296284791442,5.349467208317231,5.074126780939178,5.201963424682617,74877000.0,0.0,0.0,6067,3947,10,1395,526,431,1990
2020-04-15,21.5,0.0,1.4583333333333333,0.625,3.2083333333333335,4.975790967722974,5.054459525489094,4.867621466343764,4.946290493011475,74727700.0,0.0,0.0,5500,3876,9,1329,576,389,1889
2020-04-16,31.416666666666668,0.75,0.0,0.5416666666666666,0.5416666666666666,4.975790921490252,4.985624725570442,4.808620003339726,4.8577880859375,58951200.0,0.0,0.0,5656,3778,6,1269,563,412,1832
2020-04-17,28.875,0.0,1.2083333333333333,1.5416666666666667,0.0,5.083960025172412,5.192129517106296,4.946290061103,5.034791946411133,91989300.0,0.0,0.0,6303,5066,13,1442,570,480,1899
2020-04-18,27.125,0.8333333333333334,0.9583333333333334,2.5833333333333335,0.0,,,,,,,,7793,5049,15,1641,568,512,2423
2020-04-19,22.666666666666668,0.0,0.0,1.6666666666666667,1.8333333333333333,,,,,,,,6447,4686,13,1748,611,490,2440
2020-04-20,24.708333333333332,0.0,1.0833333333333333,1.1666666666666667,0.0,4.926623326569083,5.005291883904052,4.828287160998784,4.897122383117676,71079400.0,0.0,0.0,5995,4344,6,1494,588,507,1939
2020-04-21,23.083333333333332,0.0,1.0,0.0,0.5,4.808619917960738,4.838120860775918,4.6414490027783994,4.690617084503174,82400200.0,0.0,0.0,5875,4404,8,1413,605,510,1773
2020-04-22,15.708333333333334,0.0,0.4583333333333333,0.5833333333333334,0.375,4.788952779051144,4.808619917960738,4.67094994559358,4.690617084503174,62237200.0,0.0,0.0,5929,4177,9,1459,588,518,1883
2020-04-23,15.291666666666666,0.0,0.7916666666666666,0.9583333333333334,0.0,4.720118084332309,4.897122336656677,4.690617141160789,4.808619976043701,61959800.0,0.0,0.0,5240,4023,14,1882,553,462,1777
2020-04-24,17.041666666666668,0.0,1.125,2.25,0.0,4.847954244778729,4.877455187892079,4.720118075025104,4.788952827453613,54320400.0,0.0,0.0,5121,4025,11,1212,510,540,1694
2020-04-25,15.125,0.0,0.9166666666666666,1.4583333333333333,2.4166666666666665,,,,,,,,5661,4204,9,1282,579,498,1867
2020-04-26,16.041666666666668,0.0,0.625,0.5833333333333334,0.0,,,,,,,,5897,4218,7,1527,542,500,2124
2020-04-27,25.041666666666668,0.0,0.375,0.4166666666666667,0.4583333333333333,4.8282872482800325,5.103627672831356,4.798786773196931,5.08396053314209,91082800.0,0.0,0.0,5490,4038,10,1311,597,400,1906
2020-04-28,16.625,0.0,2.5833333333333335,1.25,0.0,5.398634867588741,5.447802952168159,5.133128242443419,5.290465831756592,106222800.0,0.0,0.0,6423,3744,15,1746,508,416,1795
2020-04-29,24.208333333333332,0.0,0.875,0.5,0.9583333333333334,5.241297212080661,5.408468119901877,5.123294383819175,5.172462463378906,126393000.0,0.0,0.0,6108,3875,12,1503,528,451,1620
